__NF_PROGRESS__{"job_name": "PatchTST", "model_index": 1, "total_models": 1, "total_steps": 505, "completed_steps": 0, "total_folds": 5, "current_fold": null, "phase": null, "status": "running", "detail": "mode=learned_auto output_root=/home/sonet/.openclaw/workspace/research/neuralforecast/runs/brentoil_case3_HPT_n100/scheduler/workers/PatchTST", "event": "model-start", "progress_pct": 0, "progress_text": "[------------------] 0/505   0%"}
__NF_PROGRESS__{"job_name": "PatchTST", "model_index": 1, "total_models": 1, "total_steps": 505, "completed_steps": 0, "total_folds": 5, "current_fold": 0, "phase": "tune-trial-1/100", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 0, "progress_text": "[------------------] 0/505   0%"}
__NF_PROGRESS__{"job_name": "PatchTST", "model_index": 1, "total_models": 1, "total_steps": 505, "completed_steps": 1, "total_folds": 5, "current_fold": 0, "phase": "tune-trial-1/100", "status": "running", "detail": "mse=26.5589", "event": "fold-done", "progress_pct": 0, "progress_text": "[------------------] 1/505   0%"}
__NF_PROGRESS__{"job_name": "PatchTST", "model_index": 1, "total_models": 1, "total_steps": 505, "completed_steps": 1, "total_folds": 5, "current_fold": 1, "phase": "tune-trial-1/100", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 0, "progress_text": "[------------------] 1/505   0%"}
__NF_PROGRESS__{"job_name": "PatchTST", "model_index": 1, "total_models": 1, "total_steps": 505, "completed_steps": 2, "total_folds": 5, "current_fold": 1, "phase": "tune-trial-1/100", "status": "running", "detail": "mse=5.0086", "event": "fold-done", "progress_pct": 0, "progress_text": "[------------------] 2/505   0%"}
__NF_PROGRESS__{"job_name": "PatchTST", "model_index": 1, "total_models": 1, "total_steps": 505, "completed_steps": 2, "total_folds": 5, "current_fold": 2, "phase": "tune-trial-1/100", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 0, "progress_text": "[------------------] 2/505   0%"}
__NF_PROGRESS__{"job_name": "PatchTST", "model_index": 1, "total_models": 1, "total_steps": 505, "completed_steps": 3, "total_folds": 5, "current_fold": 2, "phase": "tune-trial-1/100", "status": "running", "detail": "mse=13.0044", "event": "fold-done", "progress_pct": 1, "progress_text": "[------------------] 3/505   1%"}
__NF_PROGRESS__{"job_name": "PatchTST", "model_index": 1, "total_models": 1, "total_steps": 505, "completed_steps": 3, "total_folds": 5, "current_fold": 3, "phase": "tune-trial-1/100", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 1, "progress_text": "[------------------] 3/505   1%"}
__NF_PROGRESS__{"job_name": "PatchTST", "model_index": 1, "total_models": 1, "total_steps": 505, "completed_steps": 4, "total_folds": 5, "current_fold": 3, "phase": "tune-trial-1/100", "status": "running", "detail": "mse=8.1141", "event": "fold-done", "progress_pct": 1, "progress_text": "[------------------] 4/505   1%"}
__NF_PROGRESS__{"job_name": "PatchTST", "model_index": 1, "total_models": 1, "total_steps": 505, "completed_steps": 4, "total_folds": 5, "current_fold": 4, "phase": "tune-trial-1/100", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 1, "progress_text": "[------------------] 4/505   1%"}
__NF_PROGRESS__{"job_name": "PatchTST", "model_index": 1, "total_models": 1, "total_steps": 505, "completed_steps": 5, "total_folds": 5, "current_fold": 4, "phase": "tune-trial-1/100", "status": "running", "detail": "mse=229.6927", "event": "fold-done", "progress_pct": 1, "progress_text": "[------------------] 5/505   1%"}
__NF_PROGRESS__{"job_name": "PatchTST", "model_index": 1, "total_models": 1, "total_steps": 505, "completed_steps": 5, "total_folds": 5, "current_fold": 0, "phase": "tune-trial-2/100", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 1, "progress_text": "[------------------] 5/505   1%"}
__NF_PROGRESS__{"job_name": "PatchTST", "model_index": 1, "total_models": 1, "total_steps": 505, "completed_steps": 6, "total_folds": 5, "current_fold": 0, "phase": "tune-trial-2/100", "status": "running", "detail": "mse=29.7109", "event": "fold-done", "progress_pct": 1, "progress_text": "[------------------] 6/505   1%"}
__NF_PROGRESS__{"job_name": "PatchTST", "model_index": 1, "total_models": 1, "total_steps": 505, "completed_steps": 6, "total_folds": 5, "current_fold": 1, "phase": "tune-trial-2/100", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 1, "progress_text": "[------------------] 6/505   1%"}
